iter	Passed	Remaining
790	18173	96700
791	18196	96678
792	18258	96865
793	18285	96863
794	18339	97005
795	18393	97144
796	18417	97125
797	18440	97104
798	18464	97085
799	18485	97047
800	18510	97037
801	18533	97009
802	18628	97363
803	18666	97417
804	18719	97551
805	18778	97712
806	18823	97801
807	18884	97973
808	18944	98138
809	19011	98341
810	19081	98561
811	19109	98557
812	19128	98514
813	19149	98478
814	19178	98478
815	19203	98463
816	19219	98400
817	19236	98345
818	19278	98414
819	19349	98635
820	19373	98613
821	19393	98573
822	19417	98551
823	19453	98587
824	19488	98624
825	19564	98863
826	19585	98825
827	19609	98804
828	19632	98777
829	19652	98734
830	19672	98691
831	19691	98647
832	19711	98606
833	19731	98561
834	19751	98520
835	19771	98481
836	19791	98435
837	19812	98401
838	19834	98370
839	19857	98341
840	19877	98302
841	19897	98256
842	19916	98211
843	19938	98182
844	19961	98153
845	19987	98144
846	20011	98120
847	20051	98175
848	20100	98277
849	20156	98412
850	20192	98445
851	20216	98423
852	20241	98407
853	20296	98533
854	20346	98639
855	20389	98705
856	20409	98665
857	20428	98619
858	20447	98573
859	20485	98614
860	20512	98607
861	20532	98566
862	20551	98519
863	20571	98477
864	20610	98526
865	20650	98578
866	20675	98560
867	20699	98535
868	20728	98538
869	20752	98513
870	20777	98497
871	20801	98472
872	20827	98458
873	20847	98417
874	20867	98373
875	20887	98332
876	20906	98287
877	20925	98241
878	20967	98301
879	20996	98303
880	21038	98363
881	21081	98428
882	21131	98524
883	21177	98605
884	21208	98614
885	21237	98614
886	21261	98589
887	21291	98593
888	21324	98612
889	21353	98612
890	21387	98630
891	21451	98790
892	21489	98832
893	21509	98788
894	21528	98742
895	21549	98706
896	21571	98673
897	21599	98666
898	21625	98651
899	21647	98618
900	21669	98583
901	21695	98565
902	21716	98530
903	21739	98500
904	21759	98459
905	21779	98417
906	21799	98372
907	21817	98324
908	21837	98278
909	21855	98228
910	21875	98189
911	21895	98144
912	21915	98101
913	21950	98128
914	21995	98197
915	22019	98174
916	22041	98140
917	22063	98107
918	22094	98115
919	22130	98142
920	22161	98151
921	22191	98152
922	22222	98157
923	22252	98160
924	22297	98231
925	22330	98246
926	22404	98437
927	22442	98477
928	22465	98447
929	22490	98427
930	22514	98399
931	22539	98380
932	22561	98348
933	22584	98319
934	22604	98273
935	22624	98232
936	22644	98190
937	22666	98157
938	22688	98125
939	22720	98134
940	22760	98177
941	22803	98235
942	22827	98211
943	22855	98199
944	22882	98186
945	22904	98153
946	22929	98135
947	22949	98092
948	22967	98041
949	22986	97996
950	23004	97946
951	23024	97901
952	23043	97856
953	23057	97790
954	23075	97736
955	23095	97694
956	23115	97655
957	23136	97616
958	23163	97605
959	23188	97583
960	23222	97602
961	23248	97585
962	23275	97573
963	23354	97778
964	23379	97758
965	23399	97716
966	23418	97671
967	23440	97634
968	23461	97598
969	23494	97612
970	23522	97602
971	23549	97589
972	23573	97564
973	23601	97557
974	23623	97523
975	23651	97512
976	23672	97474
977	23692	97435
978	23714	97399
979	23734	97359
980	23754	97318
981	23775	97281
982	23802	97268
983	23832	97266
984	23866	97285
985	23897	97286
986	23925	97278
987	23950	97258
988	23994	97310
989	24015	97275
990	24036	97236
991	24057	97198
992	24076	97154
993	24092	97097
994	24113	97058
995	24140	97044
996	24163	97015
997	24187	96993
998	24210	96961
999	24234	96938
1000	24257	96907
1001	24280	96878
1002	24303	96848
1003	24322	96807
1004	24403	97008
1005	24447	97059
1006	24484	97087
1007	24531	97150
1008	24566	97169
1009	24588	97136
1010	24612	97110
1011	24637	97088
1012	24665	97080
1013	24690	97056
1014	24714	97032
1015	24736	96998
1016	24762	96980
1017	24785	96950
1018	24809	96925
1019	24830	96889
1020	24851	96851
1021	24876	96827
1022	24899	96798
1023	24921	96765
1024	24944	96735
1025	24965	96698
1026	24986	96661
1027	25009	96631
1028	25034	96608
1029	25078	96660
1030	25141	96787
1031	25185	96836
1032	25204	96790
1033	25223	96748
1034	25243	96706
1035	25270	96692
1036	25314	96741
1037	25336	96709
1038	25355	96664
1039	25374	96617
1040	25423	96687
1041	25451	96676
1042	25472	96637
1043	25494	96607
1044	25516	96572
1045	25536	96531
1046	25571	96546
1047	25600	96538
1048	25623	96509
1049	25642	96463
1050	25663	96426
1051	25689	96408
1052	25710	96370
1053	25728	96324
1054	25747	96279
1055	25766	96234
1056	25785	96189
1057	25803	96142
1058	25822	96096
1059	25841	96051
1060	25860	96006
1061	25879	95964
1062	25899	95924
1063	25920	95886
1064	25940	95845
1065	25975	95862
1066	26011	95878
1067	26045	95891
1068	26081	95907
1069	26125	95956
1070	26153	95945
1071	26175	95910
1072	26193	95865
1073	26213	95824
1074	26237	95798
1075	26259	95765
1076	26281	95730
1077	26306	95707
1078	26334	95697
1079	26380	95750
1080	26398	95703
1081	26471	95854
1082	26497	95837
1083	26516	95792
1084	26537	95753
1085	26556	95712
1086	26577	95673
1087	26596	95631
1088	26615	95586
1089	26633	95539
1090	26653	95498
1091	26672	95454
1092	26689	95402
1093	26708	95359
1094	26727	95317
1095	26745	95268
1096	26764	95224
1097	26782	95177
1098	26800	95132
1099	26819	95087
1100	26842	95057
1101	26861	95015
1102	26880	94972
1103	26899	94928
1104	26918	94886
1105	26938	94844
1106	26958	94805
1107	26978	94765
1108	26996	94719
1109	27016	94679
1110	27034	94631
1111	27053	94589
1112	27072	94548
1113	27092	94507
1114	27110	94462
1115	27129	94420
1116	27150	94382
1117	27170	94343
1118	27189	94302
1119	27207	94253
1120	27227	94215
1121	27247	94176
1122	27266	94134
1123	27285	94091
1124	27303	94047
1125	27344	94078
1126	27370	94060
1127	27391	94025
1128	27412	93987
1129	27431	93946
1130	27467	93961
1131	27531	94075
1132	27553	94040
1133	27571	93996
1134	27593	93964
1135	27611	93916
1136	27630	93875
1137	27649	93832
1138	27667	93788
1139	27686	93744
1140	27703	93697
1141	27723	93656
1142	27742	93614
1143	27759	93566
1144	27779	93527
1145	27798	93485
1146	27817	93444
1147	27836	93401
1148	27854	93358
1149	27873	93315
1150	27892	93273
1151	27910	93227
1152	27928	93183
1153	27948	93146
1154	27967	93104
1155	27985	93060
1156	28003	93014
1157	28022	92971
1158	28040	92928
1159	28055	92874
1160	28074	92831
1161	28093	92791
1162	28113	92753
1163	28132	92712
1164	28152	92674
1165	28170	92630
1166	28191	92593
1167	28209	92550
1168	28228	92509
1169	28247	92467
1170	28288	92499
1171	28314	92480
1172	28332	92438
1173	28350	92393
1174	28370	92355
1175	28403	92358
1176	28422	92318
1177	28440	92273
1178	28460	92236
1179	28478	92194
1180	28543	92301
1181	28589	92346
1182	28609	92310
1183	28628	92268
1184	28647	92227
1185	28665	92182
1186	28680	92129
1187	28700	92091
1188	28714	92036
1189	28732	91993
1190	28752	91953
1191	28770	91910
1192	28791	91876
1193	28810	91838
1194	28829	91796
1195	28848	91754
1196	28866	91710
1197	28885	91671
1198	28902	91626
1199	28921	91585
1200	28939	91542
1201	28959	91503
1202	28979	91465
1203	28999	91430
1204	29018	91390
1205	29037	91349
1206	29056	91310
1207	29075	91270
1208	29094	91229
1209	29112	91187
1210	29130	91143
1211	29150	91107
1212	29168	91064
1213	29187	91023
1214	29227	91049
1215	29249	91020
1216	29268	90979
1217	29287	90939
1218	29306	90900
1219	29326	90864
1220	29346	90828
1221	29366	90791
1222	29382	90743
1223	29401	90703
1224	29420	90662
1225	29440	90625
1226	29459	90586
1227	29477	90545
1228	29554	90684
1229	29584	90676
1230	29605	90643
1231	29623	90602
1232	29644	90569
1233	29663	90528
1234	29681	90486
1235	29700	90447
1236	29718	90404
1237	29739	90373
1238	29760	90337
1239	29780	90303
1240	29799	90263
1241	29817	90221
1242	29835	90177
1243	29853	90136
1244	29871	90094
1245	29889	90052
1246	29908	90014
1247	29926	89972
1248	29944	89929
1249	29961	89885
1250	29980	89846
1251	29999	89808
1252	30019	89770
1253	30038	89732
1254	30058	89696
1255	30083	89676
1256	30114	89672
1257	30147	89674
1258	30177	89669
1259	30215	89686
1260	30260	89727
1261	30285	89703
1262	30316	89701
1263	30347	89698
1264	30370	89670
1265	30391	89638
1266	30411	89602
1267	30436	89582
1268	30468	89579
1269	30496	89568
1270	30528	89566
1271	30636	89790
1272	30656	89755
1273	30677	89721
1274	30697	89684
1275	30716	89646
1276	30735	89607
1277	30755	89572
1278	30776	89537
1279	30795	89498
1280	30815	89463
1281	30850	89472
1282	30892	89497
1283	30916	89474
1284	30940	89449
1285	30964	89425
1286	30985	89394
1287	31010	89370
1288	31032	89340
1289	31053	89308
1290	31074	89274
1291	31104	89270
1292	31140	89277
1293	31159	89240
1294	31177	89197
1295	31196	89160
1296	31215	89123
1297	31235	89085
1298	31258	89060
1299	31279	89025
1300	31298	88987
1301	31318	88951
1302	31334	88906
1303	31356	88874
1304	31375	88837
1305	31397	88808
1306	31419	88776
1307	31439	88742
1308	31462	88715
1309	31483	88682
1310	31503	88646
1311	31525	88617
1312	31546	88584
1313	31567	88552
1314	31587	88518
1315	31683	88693
1316	31711	88680
1317	31732	88647
1318	31751	88611
1319	31770	88572
1320	31786	88526
1321	31806	88489
1322	31825	88451
1323	31847	88421
1324	31867	88386
1325	31886	88349
1326	31905	88312
1327	31926	88278
1328	31946	88242
1329	31966	88207
1330	31987	88176
1331	32009	88145
1332	32031	88115
1333	32050	88079
1334	32069	88039
1335	32087	88000
1336	32106	87962
1337	32125	87924
1338	32152	87908
1339	32205	87964
1340	32232	87948
1341	32252	87913
1342	32280	87899
1343	32305	87877
1344	32330	87857
1345	32355	87834
1346	32382	87819
1347	32404	87790
1348	32443	87807
1349	32485	87832
1350	32515	87823
1351	32544	87811
1352	32566	87783
1353	32593	87766
1354	32614	87732
1355	32655	87754
1356	32708	87809
1357	32731	87781
1358	32754	87754
1359	32784	87747
1360	32805	87713
1361	32827	87684
1362	32848	87651
1363	32868	87616
1364	32887	87579
1365	32908	87546
1366	32930	87517
1367	32950	87481
1368	32974	87459
1369	33024	87503
1370	33113	87650
1371	33136	87622
1372	33159	87595
1373	33184	87575
1374	33208	87548
1375	33242	87551
1376	33268	87531
1377	33287	87494
1378	33305	87455
1379	33324	87416
1380	33342	87376
1381	33362	87341
1382	33382	87305
1383	33403	87274
1384	33435	87269
1385	33458	87244
1386	33490	87239
1387	33523	87237
1388	33555	87234
1389	33591	87241
1390	33623	87238
1391	33650	87221
1392	33698	87258
1393	33755	87319
1394	33787	87314
1395	33812	87291
1396	33840	87277
1397	33869	87267
1398	33895	87246
1399	33917	87217
1400	33937	87181
1401	33958	87148
1402	33976	87108
1403	34005	87096
1404	34033	87081
1405	34053	87047
1406	34083	87037
1407	34118	87040
1408	34156	87050
1409	34180	87027
1410	34203	86999
1411	34224	86967
1412	34245	86934
1413	34267	86903
1414	34289	86874
1415	34309	86839
1416	34328	86803
1417	34349	86769
1418	34370	86738
1419	34391	86705
1420	34412	86673
1421	34432	86638
1422	34450	86599
1423	34469	86560
1424	34487	86521
1425	34509	86490
1426	34541	86487
1427	34560	86448
1428	34579	86412
1429	34599	86376
1430	34633	86378
1431	34678	86405
1432	34788	86594
1433	34881	86742
1434	34909	86727
1435	34929	86691
1436	34950	86658
1437	35001	86699
1438	35050	86736
1439	35082	86731
1440	35116	86731
1441	35146	86719
1442	35178	86714
1443	35199	86683
1444	35220	86649
1445	35239	86612
1446	35257	86572
1447	35275	86531
1448	35294	86494
1449	35313	86456
1450	35332	86419
1451	35358	86398
1452	35395	86406
1453	35441	86435
1454	35466	86410
1455	35487	86379
